group,N,err_yaw_mean,err_yaw_std,err_yaw_median,err_yaw_min,err_yaw_max,err_pitch_mean,err_pitch_std,err_pitch_median,err_pitch_min,err_pitch_max,err_roll_mean,err_roll_std,err_roll_median,err_roll_min,err_roll_max,err_slant_mean,err_slant_std,err_slant_median,err_slant_min,err_slant_max
EHAM_18R,33,1.174355644950952,0.06864536311018656,1.1676299971167907,1.0693922649448098,1.3489988121720842,0.16725849104339097,0.09938089703485652,0.16729626328555014,0.008472591002899321,0.35846763890748434,0.2938692322117987,0.19392508874118608,0.2646024861818872,0.02354977269807143,0.759803682586174,0.017730313581267042,0.023039674973534423,0.0073364799342749976,6.491806324501748e-05,0.09947532705871209
EHAM_36L,32,1.275913732911354,0.7529967907831259,1.1445437894818398,1.0156908484782186,5.387486882958818,0.17252262942269647,0.09100368299364742,0.14953152309072948,0.0440609566109913,0.3639323401876595,0.28993869192833444,0.283835159198184,0.1843895039513137,0.006021153687722602,0.9887996610454155,0.010576305783953518,0.010708087228415446,0.006157977617590155,0.0002756584641954163,0.03528205461672895
FMEP_15,31,1.1447134483001158,0.09498728209288146,1.1309091372343687,0.9074652939996781,1.4504729029292491,0.2751733896962987,0.12448337439184061,0.2759193389733099,0.0627477019272078,0.6268325654336877,0.3360929471716224,0.21381619977191058,0.3005443781080257,0.038929387621807976,0.8915417142268964,0.01609790714913784,0.02291656264967509,0.004563978524149137,0.00016790148254236525,0.1077584415089392
FMEP_33,33,1.16941650797311,0.08568422946345339,1.1574138408333923,0.8982217066363702,1.4484324666531663,0.10415091439330212,0.06679987552254416,0.08546425117327772,0.0002881676199706362,0.2675414416742399,0.29596835566939417,0.2301649172191859,0.2257329013116225,0.0028521975700561697,0.9127203828716004,0.014854602100446266,0.017718455826494978,0.006200823167499259,0.00026737614792538,0.07479587111684483
FTTJ_23,30,1.1945390116562384,0.0946251021256649,1.184756166816939,1.0298908663391444,1.4778487233555495,0.22257464879643815,0.12843449058448567,0.21113455263567715,0.009308973810348675,0.5086508075768137,0.3956184810436738,0.4496199252814395,0.28762483151676366,0.0009023170195536778,1.9404504054185416,0.11694317020313486,0.07475999066880877,0.1209477871858341,0.005290710476149055,0.27977262613370213
FTTJ_5,34,1.1033942188816281,0.17243145031134655,1.1288958917714034,0.28912141510221545,1.301574983119579,0.2224180360424563,0.6553990152701409,0.10247285458810751,0.012268519207665918,3.9108305512868498,3.026418366562707,15.796566045384228,0.21338511845086083,0.011358415504852948,92.41304594975342,0.08084502500551895,0.06910629361208206,0.07279759866109525,0.0027563745408953066,0.3541725105418281
GCRR_03,32,1.1721730464785258,0.08037129971433578,1.152757125302088,0.9404964672117408,1.3952928163131162,0.08687070571535394,0.07145937868426322,0.07640286453737843,0.0005536578058809027,0.3124547297598781,0.32424010405502496,0.26416021087637453,0.2541448530505632,0.0036586520221906227,1.0014622715086448,0.017513074498145056,0.021221913583175808,0.007922596997982756,0.00010773237086869614,0.07876589853497018
GCRR_21,33,1.159337201778019,0.07685554018207993,1.1512970662987811,0.9967321969120349,1.374875607368864,0.31877808930040796,0.10061703930691525,0.32194479439064594,0.12770378141883043,0.5345501573568043,0.3215996732408002,0.2226822483408338,0.36772914867611295,0.0008315901014985805,0.8041896218683147,0.01606713446858452,0.030439384057558402,0.00622320449541125,0.0001829171371008631,0.1716684124666057
HTDA_23,33,1.1798472933430688,0.06719429591144292,1.1611535813629246,1.0545462588269459,1.3298635453593022,0.09472747336736181,0.0629367242324201,0.08132592152487916,0.007419262205957011,0.20783462896048377,0.3169593749952446,0.30848996101847864,0.20033641421161708,0.007735129883941205,1.2690752257594309,0.018300275170070393,0.023503957788015662,0.008927882220035821,0.000307871350420319,0.0966293386536603
HTDA_5,29,1.1486789421412258,0.05487966456260596,1.1392811745112397,1.0624045862914997,1.2916333071579587,0.22849796110711285,0.12440641414870116,0.22799951612712732,0.008068674990937552,0.45753762113400853,0.44701529389757744,0.33662216810393286,0.35221735613272687,0.04524814659704557,1.4987388657881244,0.027624141751530024,0.027635256778866357,0.01701209339663845,0.000390389070165309,0.11204124798161397
